crdc_mscl_r1_2,emb_fibr_r1_4,emb_fibr_r2_4,emb_fibr_r3_4,heart_r1_1,emb_fibr_r4_4,crdc_fibr_r1_3
NFkB-p65(RHD),Gfi1b(Zf),Zfp281(Zf),Maz(Zf),E2A(bHLH),p53(p53),RBPJ
PPARa(NR),NFAT(RHD),PU.1-IRF(ETS,CEBP,Hoxc9(Homeobox),Pax7(Paired,IRF2(IRF)
Lhx3(Homeobox),RORa(NR),AR-halfsite(NR),Nur77(NR),E2F6(E2F),HNF1b(Homeobox),Hoxa11(Homeobox)
PPARE(NR),Egr2(Zf),JunD(bZIP),NFkB-p65-Rel(RHD),Zfp281(Zf),ZNF7(Zf),NRF1(NRF)
ETV1(ETS),Hoxb4(Homeobox),TFE3(bHLH),Tcf3(HMG),IRF8(IRF),c-Myc(bHLH),ZEB2(Zf)
FOXA1(Forkhead),Nanog(Homeobox),Isl1(Homeobox),NF1,Pitx1,JunD(bZIP),PU.1
Lhx1(Homeobox),PBX1(Homeobox),USF1(bHLH),Rfx6(HTH),Gfi1b(Zf),ZNF264(Zf),Nkx6.1(Homeobox)
THRb(NR),EKLF(Zf),CTCF-SatelliteElement(Zf,Foxa2(Forkhead),Maz(Zf),Atf2(bZIP),Pitx1
ZNF341(Zf),FoxD3(forkhead),Unknown-ESC-element(,Ronin(THAP),HIF-1a(bHLH),HRE(HSF),Rfx6(HTH)
ZNF322(Zf),Unknown-ESC-element(,ERE(NR),Hoxb4(Homeobox),FOXA1(Forkhead),c-Jun-CRE(bZIP),ZSCAN22(Zf)
STAT1(Stat),JunD(bZIP),Hoxd12(Homeobox),Gfi1b(Zf),Nrf2(bZIP),Brachyury(T-box),ERG(ETS)
PU.1,NFkB-p65(RHD),MNT(bHLH),Klf9(Zf),FOXP1(Forkhead),p63(p53),Hoxd11(Homeobox)
ETS,HEB(bHLH),STAT6(Stat),ZNF7(Zf),EHF(ETS),RORg(NR),ELF5(ETS)
Foxa2(Forkhead),EBF1(EBF),ZNF143,Lhx2(Homeobox),PU.1,RORa(NR),ZBTB33(Zf)
Six2(Homeobox),IRF3(IRF),Hoxa9(Homeobox),bHLHE40(bHLH),E2F7(E2F),Arnt,Hoxd13(Homeobox)
Elk4(ETS),Rfx5(HTH),Foxh1(Forkhead),FoxD3(forkhead),NFE2L2(bZIP),ZNF143,bHLHE41(bHLH)
ZNF165(Zf),SpiB(ETS),Zic3(Zf),Arnt,Hoxa9(Homeobox),Atf7(bZIP),Hoxb4(Homeobox)
Elf4(ETS),HRE(HSF),Srebp2(bHLH),Erra(NR),MafF(bZIP),PAX5(Paired,Hoxc9(Homeobox)
Zic2(Zf),Pax8(Paired,Lhx1(Homeobox),Tcf7(HMG),c-Myc(bHLH),Usf2(bHLH),Isl1(Homeobox)
FOXA1(Forkhead),Six4(Homeobox),DLX5(Homeobox),Nkx2.2(Homeobox),RORgt(NR),Fox,BMAL1(bHLH)
COUP-TFII(NR),Erra(NR),n-Myc(bHLH),Srebp2(bHLH),RORgt(NR),NA,Lhx3(Homeobox)
EAR2(NR),Elf4(ETS),NPAS2(bHLH),NPAS2(bHLH),THRa(NR),NA,Stat3
Hoxb4(Homeobox),KLF10(Zf),REST-NRSF(Zf),EBF1(EBF),Hoxd13(Homeobox),NA,TATA-Box(TBP)
En1(Homeobox),THRb(NR),Lhx2(Homeobox),HRE(HSF),IRF3(IRF),NA,Nkx2.5(Homeobox)
PAX3,Sp1(Zf),Pax8(Paired,FOXM1(Forkhead),GLIS3(Zf),NA,MYB(HTH)
GSC(Homeobox),PU.1(ETS),PBX1(Homeobox),Hoxa9(Homeobox),Bcl6(Zf),NA,LHX9(Homeobox)
DUX(Homeobox),EHF(ETS),RBPJ,ZNF143,RAR,NA,X-box(HTH)
ELF1(ETS),PRDM9(Zf),Pbx3(Homeobox),CTCF-SatelliteElement(Zf,LXRE(NR),NA,p53(p53)
MafF(bZIP),PR(NR),HEB(bHLH),Nkx2.5(Homeobox),YY1(Zf),NA,p53(p53)
RXR(NR),n-Myc(bHLH),Maz(Zf),E2F3(E2F),Egr2(Zf),NA,USF1(bHLH)
HIF2a(bHLH),Atf4(bZIP),PAX5(Paired,Foxh1(Forkhead),CDX4(Homeobox),NA,ZNF416(Zf)
HOXA1(Homeobox),Foxh1(Forkhead),LEF1(HMG),MafF(bZIP),Nur77(NR),NA,Tcf3(HMG)
HLF(bZIP),PAX5(Paired,THRb(NR),p53(p53),Arnt,NA,E2F(E2F)
STAT5(Stat),Klf9(Zf),SpiB(ETS),ZNF416(Zf),ZNF7(Zf),NA,NFkB-p65(RHD)
NF1,HRE(HSF),Ronin(THAP),Unknown-ESC-element(,HLF(bZIP),NA,NA
FOXM1(Forkhead),IRF8(IRF),ZNF711(Zf),MNT(bHLH),PGR(NR),NA,NA
Hoxd11(Homeobox),RBPJ,Erra(NR),Foxa3(Forkhead),NF-E2(bZIP),NA,NA
Nanog(Homeobox),E2F4(E2F),MafF(bZIP),GFY-Staf(,LEF1(HMG),NA,NA
RAR,SF1(NR),CRE(bZIP),Atf4(bZIP),ELF5(ETS),NA,NA
Six1(Homeobox),PAX5(Paired,Nkx2.5(Homeobox),CRE(bZIP),NRF1(NRF),NA,NA
THRb(NR),SPDEF(ETS),c-Myc(bHLH),Pknox1(Homeobox),RORa(NR),NA,NA
RAR,Zic2(Zf),ETS,Hoxd10(Homeobox),RORg(NR),NA,NA
HIF-1a(bHLH),Ascl2(bHLH),Ascl2(bHLH),NFAT(RHD),RXR(NR),NA,NA
Tcf3(HMG),USF1(bHLH),ETS,COUP-TFII(NR),NFkB-p65(RHD),NA,NA
Hoxa11(Homeobox),ELF5(ETS),ZNF341(Zf),COUP-TFII(NR),PRDM15(Zf),NA,NA
LHX9(Homeobox),ZNF7(Zf),Nkx2.2(Homeobox),E-box(bHLH),Zic3(Zf),NA,NA
Rfx5(HTH),PRDM10(Zf),Pknox1(Homeobox),IRF8(IRF),RBPJ,NA,NA
ZSCAN22(Zf),Isl1(Homeobox),FOXM1(Forkhead),Hand2(bHLH),Pax8(Paired,NA,NA
ETS,Ets1-distal(ETS),ZNF189(Zf),RORa(NR),EKLF(Zf),NA,NA
Reverb(NR),E2F3(E2F),Tcf3(HMG),Zic3(Zf),IRF2(IRF),NA,NA
Bcl6(Zf),Nur77(NR),bZIP,bHLHE41(bHLH),STAT1(Stat),NA,NA
CDX4(Homeobox),ETS,Atf4(bZIP),PAX5(Paired,HIF2a(bHLH),NA,NA
p53(p53),bZIP,ZNF7(Zf),PU.1,NF1,NA,NA
Erra(NR),Esrrb(NR),GFY-Staf(,ERE(NR),Hoxd12(Homeobox),NA,NA
TFE3(bHLH),p53(p53),PRDM15(Zf),REST-NRSF(Zf),Ets1-distal(ETS),NA,NA
Cdx2(Homeobox),ELF3(ETS),Sp1(Zf),HRE(HSF),NFkB-p65-Rel(RHD),NA,NA
SpiB(ETS),Nr5a2(NR),RORa(NR),Hoxd12(Homeobox),WT1(Zf),NA,NA
ETS(ETS),TFE3(bHLH),IRF8(IRF),n-Myc(bHLH),Zic2(Zf),NA,NA
bZIP,FOXM1(Forkhead),Six4(Homeobox),Six4(Homeobox),Twist(bHLH),NA,NA
Foxa3(Forkhead),LXRE(NR),IRF,Ascl2(bHLH),Sox21(HMG),NA,NA
Gfi1b(Zf),ZNF143,Foxa2(Forkhead),DUX4(Homeobox),c-Myc(bHLH),NA,NA
NFAT,PU.1,Zic2(Zf),PBX1(Homeobox),Srebp2(bHLH),NA,NA
HOXA2(Homeobox),ERRg(NR),E2F4(E2F),THRb(NR),Hoxb4(Homeobox),NA,NA
PRDM1(Zf),IRF2(IRF),p53(p53),Pax8(Paired,IRF4(IRF),NA,NA
Six4(Homeobox),PRDM1(Zf),RORg(NR),ERRg(NR),GFX(,NA,NA
EBF(EBF),DLX5(Homeobox),Dlx3(Homeobox),Zic(Zf),ZNF189(Zf),NA,NA
p63(p53),Ronin(THAP),IRF3(IRF),GFY(,NRF(NRF),NA,NA
LEF1(HMG),PRDM15(Zf),GFY(,PAX5(Paired,Sox9(HMG),NA,NA
Unknown(Homeobox),MNT(bHLH),Rfx5(HTH),Duxbl(Homeobox),MafK(bZIP),NA,NA
NFkB-p50,c-Myc(bHLH),p73(p53),c-Myc(bHLH),E2F1(E2F),NA,NA
Atf4(bZIP),NPAS2(bHLH),RORgt(NR),HIF-1b(HLH),PR(NR),NA,NA
HOXB13(Homeobox),Lhx1(Homeobox),RORgt(NR),SpiB(ETS),Fox,NA,NA
Hoxa13(Homeobox),Zfp809(Zf),Foxa3(Forkhead),PRDM1(Zf),GRE(NR),NA,NA
Hoxc9(Homeobox),THRa(NR),E2F3(E2F),EAR2(NR),Unknown(Homeobox),NA,NA
Hoxd13(Homeobox),Nr5a2(NR),E2F6(E2F),Zic2(Zf),PAX5(Paired,NA,NA
Zfp809(Zf),PGR(NR),PRDM10(Zf),E2F4(E2F),PPARa(NR),NA,NA
Nr5a2(NR),Twist(bHLH),PAX5(Paired,ETS,Hoxa13(Homeobox),NA,NA
SF1(NR),THRb(NR),Tcfcp2l1(CP2),Fox,PPARE(NR),NA,NA
IRF8(IRF),Maz(Zf),DMRT1(DM),TCFL2(HMG),Sox10(HMG),NA,NA
Pitx1,Zic(Zf),HIF-1b(HLH),STAT6(Stat),Rfx2(HTH),NA,NA
CEBP(bZIP),Lhx2(Homeobox),PRDM9(Zf),PR(NR),Sox2(HMG),NA,NA
Phox2a(Homeobox),IRF4(IRF),Zic(Zf),Reverb(NR),Sox4(HMG),NA,NA
AP-2gamma(AP2),Hoxa10(Homeobox),ZFX(Zf),Chop(bZIP),Foxa3(Forkhead),NA,NA
NA,GRE(NR),STAT6(Stat),PPARE(NR),Zic(Zf),NA,NA
NA,RAR,Fox,HIF-1a(bHLH),Srebp1a(bHLH),NA,NA
NA,CRE(bZIP),PU.1,Rfx5(HTH),GRE(NR),NA,NA
NA,GFY-Staf(,PR(NR),HEB(bHLH),ZBTB33(Zf),NA,NA
NA,Foxa2(Forkhead),Tcf7(HMG),THRb(NR),Otx2(Homeobox),NA,NA
NA,Foxa3(Forkhead),Arnt,ETS,PU.1(ETS),NA,NA
NA,E2F1(E2F),bHLHE41(bHLH),bZIP,STAT5(Stat),NA,NA
NA,p73(p53),Nur77(NR),E2F6(E2F),ZBTB18(Zf),NA,NA
NA,HIF-1b(HLH),ZNF136(Zf),E2F7(E2F),ZNF264(Zf),NA,NA
NA,ZNF317(Zf),Twist(bHLH),IRF4(IRF),FOXM1(Forkhead),NA,NA
NA,MafF(bZIP),X-box(HTH),ZNF711(Zf),EBF2(EBF),NA,NA
NA,GRE(NR),DMRT6(DM),c-Myc(bHLH),ZNF341(Zf),NA,NA
NA,ZNF264(Zf),AP-2gamma(AP2),p63(p53),Sox3(HMG),NA,NA
NA,Chop(bZIP),ZNF317(Zf),RORg(NR),MafB(bZIP),NA,NA
NA,ISRE(IRF),E2F1(E2F),Esrrb(NR),ELF3(ETS),NA,NA
NA,IRF1(IRF),E2F7(E2F),STAT6(Stat),Foxh1(Forkhead),NA,NA
NA,ARE(NR),c-Myc(bHLH),ZNF264(Zf),ZNF322(Zf),NA,NA
NA,ZNF322(Zf),Rfx1(HTH),ZNF341(Zf),ZNF467(Zf),NA,NA
NA,AP-2gamma(AP2),E-box(bHLH),PRDM10(Zf),RFX(HTH),NA,NA
NA,DUX4(Homeobox),Rfx2(HTH),PSE(SNAPc),ZNF711(Zf),NA,NA
NA,E2F6(E2F),GRHL2(CP2),IRF1(IRF),CEBP,NA,NA
NA,Fox,Chop(bZIP),PRDM15(Zf),Tcf7(HMG),NA,NA
NA,p53(p53),IRF4(IRF),ZNF467(Zf),SpiB(ETS),NA,NA
NA,p53(p53),GRE(NR),IRF3(IRF),PRDM1(Zf),NA,NA
NA,Dlx3(Homeobox),bHLHE40(bHLH),E2F1(E2F),CHR(,NA,NA
NA,E2F7(E2F),p53(p53),RORgt(NR),ZNF317(Zf),NA,NA
NA,Tcfcp2l1(CP2),p53(p53),RORgt(NR),Bach1(bZIP),NA,NA
NA,PSE(SNAPc),AP-2alpha(AP2),RAR,Sox6(HMG),NA,NA
NA,ZNF189(Zf),NFkB-p50,Zfp809(Zf),Tcf3(HMG),NA,NA
NA,STAT6(Stat),ZNF322(Zf),AP-2gamma(AP2),ZNF652,NA,NA
NA,GFX(,GFX(,ZNF652,EBF1(EBF),NA,NA
NA,E2A(bHLH),PGR(NR),ZFX(Zf),ETS,NA,NA
NA,p63(p53),RFX(HTH),PRDM9(Zf),REST-NRSF(Zf),NA,NA
NA,IRF,Pax7(Paired,IRF2(IRF),IRF1(IRF),NA,NA
NA,GFY(,IRF1(IRF),Rfx1(HTH),Rfx1(HTH),NA,NA
NA,E2F(E2F),RAR,AP-2alpha(AP2),ARE(NR),NA,NA
NA,MYNN(Zf),MYNN(Zf),TR4(NR),HRE(HSF),NA,NA
NA,ZNF675(Zf),ZNF264(Zf),ZNF136(Zf),EBF(EBF),NA,NA
NA,E-box(bHLH),Reverb(NR),ISRE(IRF),bZIP,NA,NA
NA,bHLHE41(bHLH),E2A(bHLH),ZNF675(Zf),NFAT,NA,NA
NA,ETS,THRa(NR),ZNF189(Zf),PRDM10(Zf),NA,NA
NA,Rfx1(HTH),GRE(NR),DMRT1(DM),Zfp809(Zf),NA,NA
NA,ZNF467(Zf),E2F(E2F),THRa(NR),ZNF675(Zf),NA,NA
NA,Duxbl(Homeobox),HIF-1a(bHLH),PPARa(NR),Duxbl(Homeobox),NA,NA
NA,Reverb(NR),TCFL2(HMG),E2A(bHLH),FoxD3(forkhead),NA,NA
NA,GRHL2(CP2),CEBP,HINFP(Zf),Brn2(POU,NA,NA
NA,c-Myc(bHLH),ARE(NR),ZNF322(Zf),Pit1(Homeobox),NA,NA
NA,Pax7(Paired,IRF2(IRF),Sp1(Zf),ISRE(IRF),NA,NA
NA,HIF-1a(bHLH),DUX4(Homeobox),X-box(HTH),HRE(HSF),NA,NA
NA,bHLHE40(bHLH),PRDM1(Zf),ZNF317(Zf),E2F(E2F),NA,NA
NA,DMRT6(DM),OCT,ZNF669(Zf),Tcfcp2l1(CP2),NA,NA
NA,NA,Esrrb(NR),Zfp57(Zf),STAT6(Stat),NA,NA
NA,NA,PSE(SNAPc),Nr5a2(NR),RAR,NA,NA
NA,NA,Zfp57(Zf),Rfx2(HTH),X-box(HTH),NA,NA
NA,NA,SF1(NR),HIF2a(bHLH),ZNF669(Zf),NA,NA
NA,NA,LXRE(NR),CHR(?),CEBP(bZIP),NA,NA
NA,NA,ZBTB33(Zf),NA,Hoxd10(Homeobox),NA,NA
NA,NA,ZNF669(Zf),NA,Sox15(HMG),NA,NA
NA,NA,p63(p53),NA,Hoxa10(Homeobox),NA,NA
NA,NA,ISRE(IRF),NA,Oct4(POU,NA,NA
NA,NA,NA,NA,DUX4(Homeobox),NA,NA
NA,NA,NA,NA,IRF,NA,NA
NA,NA,NA,NA,ZNF16(Zf),NA,NA
NA,NA,NA,NA,STAT6(Stat),NA,NA
NA,NA,NA,NA,Zac1(Zf),NA,NA
NA,NA,NA,NA,OCT,NA,NA
NA,NA,NA,NA,Brn1(POU,NA,NA
